"conf_rank","pt_seq","pop_mean","pop_sd","zscore","prob"
1,0.600000000000001,6.78875,1.88255104512467,-3.0061439170965,0.000505536168696441
1,0.700000000000001,6.78875,1.88255104512467,-2.9061439170965,0.000609689279195808
1,0.800000000000001,6.78875,1.88255104512467,-2.8061439170965,0.00073336044970343
1,0.9,6.78875,1.88255104512467,-2.7061439170965,0.000879793648404874
1,1,6.78875,1.88255104512467,-2.6061439170965,0.00105268986046108
1,1.1,6.78875,1.88255104512467,-2.5061439170965,0.0012562563367315
1,1.2,6.78875,1.88255104512467,-2.4061439170965,0.00149525853250898
1,1.3,6.78875,1.88255104512467,-2.3061439170965,0.00177507442305603
1,1.4,6.78875,1.88255104512467,-2.2061439170965,0.00210175078369304
1,1.5,6.78875,1.88255104512467,-2.1061439170965,0.0024820609145821
1,1.6,6.78875,1.88255104512467,-2.0061439170965,0.00292356317530837
1,1.7,6.78875,1.88255104512467,-1.9061439170965,0.0034346595734188
1,1.8,6.78875,1.88255104512467,-1.8061439170965,0.00402465352619014
1,1.9,6.78875,1.88255104512467,-1.7061439170965,0.00470380578844626
1,2,6.78875,1.88255104512467,-1.6061439170965,0.00548338741404766
1,2.1,6.78875,1.88255104512467,-1.5061439170965,0.00637572849795609
1,2.2,6.78875,1.88255104512467,-1.4061439170965,0.00739426133314493
