"playoff","pt_seq","pop_mean","pop_sd","zscore","prob","prob_pct"
"y",-9,3.05735294117647,2.82783113724848,-10.0811653146133,1.00482270660831e-05,"0%"
"y",-8.9,3.05735294117647,2.82783113724848,-9.98116531461328,1.17651480059377e-05,"0%"
"y",-8.8,3.05735294117647,2.82783113724848,-9.88116531461328,1.37589570072291e-05,"0%"
"y",-8.7,3.05735294117647,2.82783113724848,-9.78116531461328,1.60714145453696e-05,"0%"
"y",-8.6,3.05735294117647,2.82783113724848,-9.68116531461328,1.87500951984633e-05,"0%"
"y",-8.5,3.05735294117647,2.82783113724848,-9.58116531461328,2.18491201623606e-05,"0%"
"y",-8.4,3.05735294117647,2.82783113724848,-9.48116531461328,2.5429970483299e-05,"0%"
"y",-8.3,3.05735294117647,2.82783113724848,-9.38116531461328,2.95623882569622e-05,"0%"
"y",-8.2,3.05735294117647,2.82783113724848,-9.28116531461328,3.43253734700464e-05,"0%"
"y",-8.1,3.05735294117647,2.82783113724848,-9.18116531461328,3.98082845821632e-05,"0%"
"y",-8,3.05735294117647,2.82783113724848,-9.08116531461328,4.61120513567662e-05,"0%"
"y",-7.9,3.05735294117647,2.82783113724848,-8.98116531461328,5.33505088436588e-05,"0%"
"y",-7.8,3.05735294117647,2.82783113724848,-8.88116531461328,6.16518617857177e-05,"0%"
"y",-7.7,3.05735294117647,2.82783113724848,-8.78116531461328,7.11602890612002e-05,"0%"
"y",-7.6,3.05735294117647,2.82783113724848,-8.68116531461328,8.20376980720408e-05,"0%"
"y",-7.5,3.05735294117647,2.82783113724848,-8.58116531461328,9.44656392388496e-05,"0%"
"y",-7.4,3.05735294117647,2.82783113724848,-8.48116531461328,0.000108647390955029,"0%"
"y",-7.3,3.05735294117647,2.82783113724848,-8.38116531461328,0.000124810225474988,"0%"
"y",-7.2,3.05735294117647,2.82783113724848,-8.28116531461328,0.000143207866253601,"0%"
"y",-7.1,3.05735294117647,2.82783113724848,-8.18116531461328,0.000164123147203905,"0%"
"y",-7,3.05735294117647,2.82783113724848,-8.08116531461328,0.000187870884185103,"0%"
"y",-6.9,3.05735294117647,2.82783113724848,-7.98116531461328,0.000214800968760275,"0%"
"y",-6.8,3.05735294117647,2.82783113724848,-7.88116531461328,0.000245301693859354,"0%"
"y",-6.7,3.05735294117647,2.82783113724848,-7.78116531461328,0.000279803320434458,"0%"
"y",-6.6,3.05735294117647,2.82783113724848,-7.68116531461328,0.00031878189348756,"0%"
"y",-6.5,3.05735294117647,2.82783113724848,-7.58116531461328,0.000362763314971334,"0%"
"y",-6.4,3.05735294117647,2.82783113724848,-7.48116531461328,0.000412327679999163,"0%"
"y",-6.3,3.05735294117647,2.82783113724848,-7.38116531461328,0.000468113881536735,"0%"
"y",-6.2,3.05735294117647,2.82783113724848,-7.28116531461328,0.000530824487273245,"0.1%"
"y",-6.1,3.05735294117647,2.82783113724848,-7.18116531461328,0.000601230890673253,"0.1%"
"y",-6,3.05735294117647,2.82783113724848,-7.08116531461328,0.000680178736280763,"0.1%"
"y",-5.9,3.05735294117647,2.82783113724848,-6.98116531461328,0.000768593617176289,"0.1%"
"y",-5.8,3.05735294117647,2.82783113724848,-6.88116531461328,0.000867487040068478,"0.1%"
"y",-5.7,3.05735294117647,2.82783113724848,-6.78116531461328,0.000977962650829772,"0.1%"
"y",-5.6,3.05735294117647,2.82783113724848,-6.68116531461328,0.00110122271035782,"0.1%"
"y",-5.5,3.05735294117647,2.82783113724848,-6.58116531461328,0.00123857480746139,"0.1%"
"y",-5.4,3.05735294117647,2.82783113724848,-6.48116531461328,0.00139143879203522,"0.1%"
"y",-5.3,3.05735294117647,2.82783113724848,-6.38116531461328,0.00156135390810814,"0.2%"
"y",-5.2,3.05735294117647,2.82783113724848,-6.28116531461328,0.00174998610243549,"0.2%"
"y",-5.1,3.05735294117647,2.82783113724848,-6.18116531461328,0.00195913548017223,"0.2%"
"y",-5,3.05735294117647,2.82783113724848,-6.08116531461328,0.00219074387482843,"0.2%"
"y",-4.9,3.05735294117647,2.82783113724848,-5.98116531461328,0.00244690249519581,"0.2%"
"y",-4.8,3.05735294117647,2.82783113724848,-5.88116531461328,0.00272985960727034,"0.3%"
"y",-4.7,3.05735294117647,2.82783113724848,-5.78116531461328,0.0030420282044162,"0.3%"
"y",-4.6,3.05735294117647,2.82783113724848,-5.68116531461328,0.00338599361415583,"0.3%"
"y",-4.5,3.05735294117647,2.82783113724848,-5.58116531461328,0.00376452098507398,"0.4%"
"y",-4.4,3.05735294117647,2.82783113724848,-5.48116531461328,0.00418056259243723,"0.4%"
"y",-4.3,3.05735294117647,2.82783113724848,-5.38116531461328,0.00463726489630659,"0.5%"
"y",-4.2,3.05735294117647,2.82783113724848,-5.28116531461328,0.00513797528121758,"0.5%"
"y",-4.1,3.05735294117647,2.82783113724848,-5.18116531461328,0.00568624840197899,"0.6%"
"y",-4,3.05735294117647,2.82783113724848,-5.08116531461328,0.00628585205586623,"0.6%"
"y",-3.9,3.05735294117647,2.82783113724848,-4.98116531461328,0.00694077249752395,"0.7%"
"y",-3.8,3.05735294117647,2.82783113724848,-4.88116531461328,0.00765521910931944,"0.8%"
"y",-3.7,3.05735294117647,2.82783113724848,-4.78116531461328,0.00843362833677569,"0.8%"
"y",-3.6,3.05735294117647,2.82783113724848,-4.68116531461328,0.00928066679613778,"0.9%"
"y",-3.5,3.05735294117647,2.82783113724848,-4.58116531461328,0.0102012334591635,"1%"
"y",-3.4,3.05735294117647,2.82783113724848,-4.48116531461328,0.0112004608189568,"1.1%"
"y",-3.3,3.05735294117647,2.82783113724848,-4.38116531461328,0.0122837149401539,"1.2%"
"y",-3.2,3.05735294117647,2.82783113724848,-4.28116531461328,0.0134565942970996,"1.3%"
"y",-3.1,3.05735294117647,2.82783113724848,-4.18116531461328,0.0147249273048871,"1.5%"
"y",-3,3.05735294117647,2.82783113724848,-4.08116531461328,0.0160947684503388,"1.6%"
"y",-2.9,3.05735294117647,2.82783113724848,-3.98116531461328,0.0175723929332393,"1.8%"
"y",-2.8,3.05735294117647,2.82783113724848,-3.88116531461328,0.0191642897324496,"1.9%"
"y",-2.7,3.05735294117647,2.82783113724848,-3.78116531461328,0.0208771530169665,"2.1%"
"y",-2.6,3.05735294117647,2.82783113724848,-3.68116531461328,0.0227178718285906,"2.3%"
"y",-2.5,3.05735294117647,2.82783113724848,-3.58116531461328,0.0246935179706401,"2.5%"
"y",-2.4,3.05735294117647,2.82783113724848,-3.48116531461328,0.0268113320461142,"2.7%"
"y",-2.3,3.05735294117647,2.82783113724848,-3.38116531461328,0.0290787075988644,"2.9%"
"y",-2.2,3.05735294117647,2.82783113724848,-3.28116531461328,0.0315031733226558,"3.2%"
"y",-2.1,3.05735294117647,2.82783113724848,-3.18116531461328,0.0340923733154667,"3.4%"
